id,raw_dice,raw_cldice,raw_betti0_err,raw_n_pred,raw_n_gt,raw_hd95,pp_dice,pp_cldice,pp_betti0_err,pp_n_pred,pp_n_gt,pp_hd95
936,0.8419644527610667,0.8940691307176564,23,25,2,7.071067810058594,0.845941864856116,0.912967079126464,4,6,2,9.486832618713379
761,0.7904642619991891,0.8666015233655594,18,21,3,23.003267288208008,0.7944808414361129,0.8850461311346767,3,6,3,13.304134368896484
764,0.8643661607361448,0.93497100310856,7,9,2,1.7320507764816284,0.8635708169986506,0.9331059067862304,1,3,2,2.0
1000,0.8065242072844201,0.8848321248690714,22,24,2,8.062257766723633,0.8137514089577441,0.9042873233247483,4,6,2,5.385164737701416
916,0.7963672403625481,0.8604083050418044,17,19,2,21.56734275817871,0.7977466521846347,0.8593902347010336,2,4,2,20.248456954956055
243,0.6886670031018631,0.7835242830151357,22,23,1,15.748015403747559,0.6872656801859026,0.7923728319777975,5,6,1,28.390138626098633
5,0.8821084344185597,0.9455962798046331,14,18,4,2.0,0.8818123774355611,0.950173119833078,2,6,4,1.4142135381698608
937,0.7824197203818399,0.847563477468021,17,22,5,33.93508529663086,0.7849100745745523,0.854120975249478,1,4,5,30.915903091430664
998,0.8442870261063427,0.9077938507666314,14,17,3,9.871604919433594,0.8484123196663234,0.9149070245151963,3,6,3,5.656854152679443
959,0.778085516595601,0.8336158382018443,32,34,2,15.524174690246582,0.7770175403925624,0.8442095907387546,6,8,2,27.073972702026367
69,0.8715378198006706,0.9327534325594038,12,16,4,4.123105525970459,0.8723361297742727,0.9406322487474587,1,3,4,4.898979663848877
807,0.7722785863161987,0.8314228861652949,8,12,4,40.475711822509766,0.7705339559542621,0.8266425562930174,3,7,4,40.902320861816406
908,0.8397572137032593,0.9437580670274026,11,16,5,5.099019527435303,0.8376297352789597,0.9396633077193095,0,5,5,9.825894355773926
790,0.826513499917968,0.8920774344097144,23,29,6,5.385164737701416,0.8261943899482879,0.8951185874738266,3,3,6,13.928388595581055
941,0.8268713334240974,0.9408026079676619,20,22,2,12.369317054748535,0.8355965879407282,0.9540161070882218,5,7,2,2.4494898319244385
727,0.7670828657325045,0.8243902642965086,23,25,2,21.840330123901367,0.7695241109239327,0.8307248880224127,6,8,2,21.840330123901367
203,0.845148608157103,0.9090408545906564,17,20,3,7.141428470611572,0.8476573196284298,0.9208198740845955,2,5,3,8.0
763,0.7627594677603868,0.7783199376053808,25,28,3,46.98883819580078,0.7682385735747419,0.7909888997139655,6,9,3,44.14748001098633
846,0.8378909703675107,0.938986407573606,18,21,3,2.4494898319244385,0.8374849736075107,0.9406646014783948,2,5,3,6.480740547180176
108,0.8174037771951479,0.8616755866674518,21,24,3,13.152946472167969,0.8168981369483,0.8640753395303915,4,7,3,11.045360565185547
